Address:,USB0::0x0957::0x179B::MY54313425::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313425,,-0.031875,-0.00462311523733661,-0.00924623047467321,
Firmware Version:,02.65.2021030741,,-0.0315625,-0.00462311523733661,-0.00739698437973857,
Start Time:,2022-02-08 10:44:05.173,,-0.03125,-0.00462311523733661,-0.00785929590347223,
,,,-0.0309375,-0.00416080371360295,-0.00739698437973857,
Analog Sample Count:,960,,-0.030625,-0.00416080371360295,-0.00785929590347223,
Function Sample Count:,0,,-0.0303125,-0.00416080371360295,-0.00647236133227125,
Waveform Memory Sample Count:,0,,-0.03,-0.00416080371360295,-0.00554773828480393,
Digital Sample Count:,0,,-0.0296875,-0.00416080371360295,-0.00693467285600491,
,,,-0.029375,-0.00416080371360295,-0.00693467285600491,
Setup Text Information:,,,-0.0290625,-0.00416080371360295,-0.00693467285600491,
ANALOG,,,-0.02875,-0.00416080371360295,-0.00601004980853759,
Channel 1,,,-0.0284375,-0.00416080371360295,-0.00647236133227125,
Scale,184 mV/,,-0.028125,-0.00369849218986928,-0.00601004980853759,
Pos,0 V,,-0.0278125,-0.00369849218986928,-0.00554773828480393,
Coup,,,-0.0275,-0.00369849218986928,-0.00601004980853759,
BW,Off,,-0.0271875,-0.00369849218986928,-0.00601004980853759,
Inv,Off,,-0.026875,-0.00369849218986928,-0.00554773828480393,
Imp,1M Ohm,,-0.0265625,-0.00323618066613562,-0.00601004980853759,
Trace Label,1,,-0.02625,-0.00323618066613562,-0.00554773828480393,
Probe,1,,-0.0259375,-0.00323618066613562,-0.00554773828480393,
Skew,0 s,,-0.025625,-0.00323618066613562,-0.00508542676107027,
,,,-0.0253125,-0.00323618066613562,-0.00554773828480393,
Channel 2,,,-0.025,-0.00277386914240196,-0.00554773828480393,
Scale,184 mV/,,-0.0246875,-0.00277386914240196,-0.00554773828480393,
Pos,0 V,,-0.024375,-0.00277386914240196,-0.00554773828480393,
Coup,,,-0.0240625,-0.00277386914240196,-0.00554773828480393,
BW,Off,,-0.02375,-0.0023115576186683,-0.00369849218986928,
Inv,Off,,-0.0234375,-0.0023115576186683,-0.00462311523733661,
Imp,1M Ohm,,-0.023125,-0.00184924609493464,-0.00508542676107027,
Trace Label,2,,-0.0228125,-0.0023115576186683,-0.00462311523733661,
Probe,1,,-0.0225,-0.00184924609493464,-0.00508542676107027,
Skew,0 s,,-0.0221875,-0.00184924609493464,-0.00508542676107027,
,,,-0.021875,-0.00138693457120098,-0.00462311523733661,
MATH,,,-0.0215625,-0.00138693457120098,-0.00554773828480393,
REFERENCE WAVEFORM,,,-0.02125,-0.00138693457120098,-0.00554773828480393,
TRIGGER,,,-0.0209375,-0.00138693457120098,-0.00601004980853759,
Sweep Mode,AUTO,,-0.020625,-0.000924623047467321,-0.00554773828480393,
Coup,DC,,-0.0203125,-0.000924623047467321,-0.00647236133227125,
Noise Rej,Off,,-0.02,-0.000924623047467321,-0.00647236133227125,
HF Rej,Off,,-0.0196875,-0.000462311523733661,-0.00601004980853759,
Holdoff,40.0 ns,,-0.019375,-0.000462311523733661,-0.00693467285600491,
Mode,EDGE,,-0.0190625,0,-0.00554773828480393,
Source,CHAN1,,-0.01875,0,-0.00693467285600491,
Slope,EITH,,-0.0184375,0,-0.00601004980853759,
Level,6 mV V,,-0.018125,0,-0.00647236133227125,
,,,-0.0178125,0.000462311523733661,-0.00693467285600491,
HORIZONTAL,,,-0.0175,0.000462311523733661,-0.00739698437973857,
Mode,MAIN,,-0.0171875,0.000924623047467321,-0.00785929590347223,
Ref,CENT,,-0.016875,0.000924623047467321,-0.00739698437973857,
Main Scale,30 ms/,,-0.0165625,0.00138693457120098,-0.00739698437973857,
Main Delay,118 ms,,-0.01625,0.00184924609493464,-0.00693467285600491,
,,,-0.0159375,0.00184924609493464,-0.00785929590347223,
ACQUISITION,,,-0.015625,0.0023115576186683,-0.00693467285600491,
Mode,HRES,,-0.0153125,0.0023115576186683,-0.00785929590347223,
RealTime,On,,-0.015,0.00277386914240196,-0.00832160742720589,
Vectors,On,,-0.0146875,0.00323618066613562,-0.00739698437973857,
Persistence,Off,,-0.014375,0.00323618066613562,-0.00832160742720589,
,,,-0.0140625,0.00369849218986928,-0.00832160742720589,
,,,-0.01375,0.00369849218986928,-0.00924623047467321,
,,,-0.0134375,0.00416080371360295,-0.00832160742720589,
,,,-0.013125,0.00416080371360295,-0.00970854199840687,
,,,-0.0128125,0.00416080371360295,-0.00878391895093955,
,,,-0.0125,0.00462311523733661,-0.00832160742720589,
,,,-0.0121875,0.00508542676107027,-0.00878391895093955,
,,,-0.011875,0.00554773828480393,-0.00878391895093955,
,,,-0.0115625,0.00554773828480393,-0.00832160742720589,
,,,-0.01125,0.00601004980853759,-0.00832160742720589,
,,,-0.0109375,0.00647236133227125,-0.00693467285600491,
,,,-0.010625,0.00647236133227125,-0.00693467285600491,
,,,-0.0103125,0.00693467285600491,-0.00647236133227125,
,,,-0.01,0.00739698437973857,-0.00647236133227125,
,,,-0.0096875,0.00785929590347223,-0.00601004980853759,
,,,-0.009375,0.00785929590347223,-0.00601004980853759,
,,,-0.0090625,0.00832160742720589,-0.00554773828480393,
,,,-0.00875,0.00878391895093955,-0.00601004980853759,
,,,-0.0084375,0.00924623047467321,-0.00647236133227125,
,,,-0.008125,0.00970854199840687,-0.00601004980853759,
,,,-0.0078125,0.0101708535221405,-0.00554773828480393,
,,,-0.0075,0.0101708535221405,-0.00508542676107027,
,,,-0.0071875,0.0106331650458742,-0.00508542676107027,
,,,-0.006875,0.0115577880933415,-0.00554773828480393,
,,,-0.0065625,0.0120200996170752,-0.00601004980853759,
,,,-0.00625,0.0124824111408088,-0.00554773828480393,
,,,-0.0059375,0.0129447226645425,-0.00554773828480393,
,,,-0.005625,0.0138693457120098,-0.00508542676107027,
,,,-0.0053125,0.0143316572357435,-0.00462311523733661,
,,,-0.005,0.0147939687594771,-0.00508542676107027,
,,,-0.0046875,0.0157185918069445,-0.00554773828480393,
,,,-0.004375,0.0161809033306781,-0.00554773828480393,
,,,-0.0040625,0.0171055263781454,-0.00462311523733661,
,,,-0.00375,0.0175678379018791,-0.00277386914240196,
,,,-0.0034375,0.0184924609493464,-0.00416080371360295,
,,,-0.003125,0.0194170839968137,-0.00416080371360295,
,,,-0.0028125,0.0198793955205474,-0.00416080371360295,
,,,-0.0025,0.0208040185680147,-0.00416080371360295,
,,,-0.0021875,0.0212663300917484,-0.00462311523733661,
,,,-0.001875,0.0221909531392157,-0.00462311523733661,
,,,-0.0015625,0.0226532646629494,-0.00462311523733661,
,,,-0.00125,0.0235778877104167,-0.00508542676107027,
,,,-0.000937500000000001,0.0249648222816177,-0.00601004980853759,
,,,-0.000625000000000001,0.025889445329085,-0.00601004980853759,
,,,-0.0003125,0.0268140683765523,-0.00601004980853759,
,,,0,0.0277386914240196,-0.00601004980853759,
,,,0.0003125,0.028663314471487,-0.00601004980853759,
,,,0.000625000000000001,0.0300502490426879,-0.00647236133227125,
,,,0.000937500000000001,0.0309748720901553,-0.00647236133227125,
,,,0.00125,0.0318994951376226,-0.00739698437973857,
,,,0.0015625,0.0337487412325572,-0.00647236133227125,
